idx,nltk
56, profissional estará encarregado contribuir projeto implementação sistemas escaláveis etl processamento entrar ecossistema big construir escalar plataforma análise interna relatórios decisões internas juntamente arquiteto engenharia infraestrutura desenvolver melhorias estratégia qualidade governança colaborar arquitetos proprietários produtos cientistas engenheiros teste ajudar trazer projetos r d ciência produção gerenciar infraestrutura crescer apoiar equipe ciência engenharia relação construção produtos performantes estabelecer direção técnica equipe impulsionando mudanças necessárias fazendo escolhas tecnológicas adequadas requisitos aws python terraform docker kubernetes warehouse/data lake etl spark spark streaming hive storm sqoop kafka hbase hdfs sql/nosql métodos ágeis disponibilidade viagens pois irá atuar técnico francisco singapura eventualmente necessário viajar outras unidades inglês avançado/fluente espanhol curso superior área tecnologia/ exatas engenharia serviços aws codificação produção python projetos arquiteturas warehouse/data lake etl tecnologias big spark spark streaming hive storm sqoop kafka hbase hdfs sql/nosql mongodb cassandra solr elasticsearch redshift dynamodb processos ágeis scrum
57," vaga tanto procurava engenheiro - scala 100 % remoto auxílio home office r $ 10.000,00 clt + benefícios va vt plano saúde gympass requisitos -experiência linguagem scala -framework processamento distribuído scala - spark hadoop -big -conhecimento básico java -conhecimento cloud azure"
58, responsabilidades engenheiro sênior processos ingestão atuar processo ingestão baseado pyspark databricks azure factory orquestrador pipelines responsável desenvolvimento manutenção fluxo carga garantia qualidade databricks pyspark azure factory azure lakes storage account gen2 processos etl lake conceitos camadas bronze silver gold lake inglês fluente desejáveis ter atuado projetos times globais idioma inglês - fluente
59, construir customizar pipeline batch realtime programar dar manutenção códigos escritos r python java definir construir banco relacionais arquitetura distribuída processamento big extrair transformar carregar etl banco outro analisar requerimentos pesquisar desenhar desenvolver novos programas software testar novos programas procurar falhas aplicável projeto cloud aws azure ibm - provisionamento ambiente conectividade desenvolvimento consumo apis comprovada engenharia seguintes tecnologias hadoop mapreduce spark hbase hive teradata kafka preferencialmente familiaridade distribuições horton cloudera proficiência linux incluindo construção shell script arquitetura plataforma sas teradata greenplum ecossistema hadoop avançada sql produtos serviços áreas negócios instituições financeiras
60, atuar engenheiro generalista relacionadas ciência analytics colaborador desenvolvimento processo adequações lgpd atuar construção sistema robusto trabalhar atualização constante melhores práticas relação segurança informação alguém deseja protagonistas carreira vontade gerar impactos transformações positivas redor língua inglesa atuamos times projetos globais fundamental dia dia graduação completa engenharias ciências computação matemática áreas correlatas bi big modelagem construção pipelines sistemas distribuídos hadoop spark processo mineração prática ingestão integração processamento armazenamento grandes volumes lei proteção lgpd programação linguagens python r scala java bancos relacionais sql server oracle mysql bancos nosql conceitos classificação previsão construção modelos machine learning processo preparação limpeza enriquecimento codificação feature engineering engenharia atributos
61, quais desenvolver cuidar lake funcionamento correto oncologia parte outras áreas desenvolver rotinas etl construir integrações apis sistemas mensageria deem suporte crescimento contínuo volume complexidade implementar processos sistemas monitorar qualidade garantindo informações disponíveis tomadas decisão acuradas produção desenvolver manter datawarehouses modernos datamarts companhia possibilitando tomada decisão áreas negócio trabalhar próximo demais engenheiros backend cientistas analistas product owners analistas qualidade implantar programas analíticos sofisticados machine learning métodos estatísticos preparar modelagem preditiva prescritiva padrões ocultos precisa inscrever superior completo ciências computação engenharia computação sistemas informação análise desenvolvimento sistemas áreas correlatas ferramentas processamento distribuídos hadoop hive spark flink beam storm samza prototipação desenvolvimento etl ferramentas cloud aws gcp linux desenvolvimentos apis rest banco relacionais relacionais nosql prática linguagem python scala java avançado sql trabalho times ágeis metodologia scrum kanb oferecemos ticket refeição ticket alimentação plano saúde após 90 dias plano odontológico após 90 dias plr além benefícios citados acima descontos estabelecimentos credenciados auxílio educacional programas qualidade vida programa psicológico financeiro jurídico social trabalhará unidade corporativa avenida paulista segunda sexta-feira horário comercial
62, empresa multinacional especializada management consulting business intelligence big web performance e-commerce omni channel soluções erp-crm desenvolvimento técnico tarefas combinadas tecnologias propostas capacidade análise soluções apropriadas criá-las tecnicamente qualidade apropriada testes qa massas testes etc participação ativa ritos scrum integrante daily meetings plannings poker apresentação resultados review perfil desejado shellscript python tecnologias hadoop hive phoenix spark yarn conceitos inerentes computação cluster queries analíticas sql/spark sql programação funcional scala ótimos gcp `` nativo '' cloud functions dataproc cloud build etc .. perfil comportamental trabalho equipe boa comunicação boa organização comprometimento pró-atividade
63, factory lake storage desenvolvimento modelagem warehouse origens sap services sap hana sap ecc sap bw azure requerido factory lake storage desenvolvimento modelagem warehouse origens sap services sap hana sap ecc sap bw azure
64, factory lake storage desenvolvimento modelagem warehouse python azure factory lake storage desenvolvimento modelagem warehouse python azure
65, splunk enterprise painéis otimização consultas melhorias performance comandos python splunk enterprise ingestões painéis otimização consultas melhorias performance comandos python ambiente bigdata hdfs hive spark hbase linux shell script python sql
66, relacionadas ciência analytics área bi big modelagem construção pipelines sistemas distribuídos hadoop spark programação linguagens python r scala java bancos relacionais sql server oracle mysql bancos nosql conceitos classificação previsão construção modelos machine learning processo preparação limpeza enriquecimento codificação feature engineering engenharia atributos processo mineração prática ingestão integração processamento armazenamento grandes volumes lei proteção lgpd
67, extração apis db relacionais relacionais web scraping estruturar desenvolver monitorar fluxos etl fazer manutenção monitoramento sistemas legados colaborar editorial produtos novos produtos novos processos desenvolver lake otimizar disponibilização toda empresa sólido python sql funcionamento manutenção banco principalmente postgresql soluções nuvem powerbi metabase redash similares desejáveis mercado financeiro/capitais java groovy programação r iniciativa idioma inglês - fluente
68, entendimento funcional requisito negócio traduzir fluxo modelagem hive/hbase implementação fluxos pipelines principalmente spark distribuição processamento paralelo destino pode arquivos api elasticsearch sftp linguagem programação scala implementação fluxos arquitetura orientada eventos apache kafka padronização tipo mensagem avro/protobuf/json ensino superior completo
69, análise desenho soluções arquitetura busca melhores soluções cada problema desenvolver manter monitorar pipelines ingestão monitorar performance propor melhorias infraestrutura cloud manter estrutura lake + warehouse monitorar testes métricas qualidade monitorar testes métricas segurança
70, irá atuar soluções ferramentas manipulação r python ... extração análise modelagem levantamento necessidades definições formato integração automatizar integrações bases lake
71, projeto modelagem desenvolvimento manutenção warehouses marts/feature stores atender necessidades negócio projeto desenvolvimento pipelines transferência transformação etl integração consolidação diferentes bases projeto desenvolvimento arquiteturas sistemas eficientes escaláveis atendam grandes quantidades projetos ciência manutenção otimização sistemas existentes gerenciamento bancos coleta informações pipelines integrar automatizar todo fluxo solução desde coleta disponibilização resultados ensino superior completo ciência computação engenharia software sistemas informação fundamentos conceitos warehousing linguagem sql linguagem python scala sistemas gerenciamento bancos relacionais rdbms diversos incluindo mysql postgres ferramentas agendar monitorar workflows relacionados etl aprendizado máquina e.g apache airflow luigi compreensão arquitetura sistemas distribuídos armazenamento gerenciamento processamento sistemas `` big '' componentes ecossistema spark hadoop desejáveis sistemas nosql cassandra desenvolvimento arquitetura software sistemas monitoramento supervisão ferramentas bibliotecas science e.g sklearn tensorflow keras pytorch frameworks processamento stream apache kafka apache flink spark stream ... inglês intermediário conversação reuniões stakeholders business envios emails leitura produção documentação
72, desenvolvimento microserviços apis algoritmos machine learning distribuições big cloudera hortonworks etc. técnicas testes unitários integrados etc. times ágeis distribuídos globalmente bancos nosql hbase mongodb etc. rotinas preparação análises etl linguagem programação scala apache spark ferramentas devops jenkins kubernetes docker etc. desenvolvimento stack elk elasticsearch desenvolvimento neo4j - fluência inglês leitura escrita conversação técnico desenvolvimento ambiente cloud aws azure gcp linguagem programação python pandas numpy boto airflow etc desenvolvimento microserviços apis algoritmos machine learning
73, analisar definir soluções desenvolver autonomia definir acompanhar monitorações integrações desenvolver acompanhar todo processo implantação produção arquitetar sistemas distribuídos pipelines confiáveis combinar fontes colaborar equipe construir soluções certas equipes bacharelado tecnologia sistemas inglês avançado - comunicação escrita ter vivência metodologia ágil scrum kanban avançados java frameworks spring linguagens javascript groovy python devops docker kubernets cloud soa modelagem desenvolvimentos interfaces rest angular banco oracle bigdata desenvolvimento microsserviços apis cloud gcp azure interessante ter mba projetos sistemas idioma inglês - fluente
74, construir avaliar executar scripts atualização performática modelagem persistência melhores práticas modelagem relacional relacional pipelines jenkins infraestrutura aws estrutura produzir análises detalhadas sobre comportamento modelos estatísticos fontes etc descobrir avaliar relevância fonte desenvolvimento linguagem python serviços aws sqs s3 ec2 pipelines jenkins domínio jypiter notebooks bancos tecnologias relacionadas sql nosql trabalhar ferramentas linguagens voltadas análise
75, atuar técnicas captura tratamento estruturação arquitetura processamento escalonamento horizontal big cloud computing paas etc operar sistemas operacionais linux centos rhel shell comandos intermediários edição arquivos vim python scala spark conceitos mpp kubernetes vms gcp dataproc cloud storage airflow devops git jenkins pipeline deploy jira confluence boa comunicação proatividade aberto conhecer tecnologias cliente certificações cloud gcp preferencialmente idioma inglês - intermediário
76, analisar definir soluções desenvolver autonomia definir acompanhar monitorações integrações desenvolver acompanhar todo processo implantação produção arquitetar sistemas distribuídos pipelines confiáveis combinar fontes colaborar equipe construir soluções certas equipes bacharelado tecnologia sistemas inglês avançado comunicação escrita ter vivência metodologia ágil scrum kanban avançados java frameworks spring linguagens javascript groovy python devops docker kubernets cloud soa modelagem desenvolvimentos interfaces rest angular banco oracle bigdata desenvolvimento microsserviços apis cloud gcp azure mba projetos sistemas
77, identificar implementar coleta fontes internas externas auxiliar manutenção monitoramento pipeline factory lake storage desenvolvimento modelagem warehouse origens sap services sap hana sap ecc sap bw
78, requisitos factory lake storage desenvolvimento modelagem warehouse python contratante importante empresa segmento consultoria voltada bi big
79, factory lake storage desenvolvimento modelagem warehouse python
80, atua processos desenvolvimento estruturado estende conceito projeto sistemas microstrategy cognos ter função destas tecnologias projeto 90 % microstrategy 10 % cognos
81, responsável capturar gerir garantir qualidade através ferramentas áreas desenvolver todo processo etl construindo testando mantendo solução onde todos extraídos limpos organizados integrados disponibilizados responsável implementação melhoria contínua plataforma utilizará ferramentas avaliar integrar disponibilizar adequada performática possível elaborar relatórios/dashboards power bi modelos visões avançadas automatizando entregas garantindo qualidade informações métricas kpi # 39s extrair tratar comparar através bases ferramentas áreas bases mercado concorrência manter controle progresso necessário follow-up adequado internamente atender realizar correlatas inerentes cargo conforme orientação solicitação superior imediato
82, linguagens sql python scala java modelagem manipulação grandes volumes domínio plataforma aws aws bucket s3 aws redshift modelagem sql nosql ferramentas quality aws deequ greatexpectations pipeline ferramentas versionamento git arquitetura governança estar ambientado projetos metodologias frameworks ágeis
83, desenvolver construir testar manter solução plataforma onde todos extraídos limpos organizados integrados disponibilizados gestão governança conhecer processos interage outras áreas datos tecnologia assim negócio saber traduzir necessidades negócio requisitos técnicos features plataforma responsável implementação melhoria contínua plataforma utilizará ferramentas avaliar integrar disponibilizar adequada performática possível apresentando trade-offs adequados cada contexto requisitos mandatórios agile scrum/kanban devops ci/cd powerbi control-m rdbms nosql impala hive spark cloud - menos três plataformas aws azure gcp hadoop ecosystem on premises gerenciado nuvem emr/hdinsights sql nosql databases paradigmas modelagem warehousing lakes python scala java core spark batch/streaming mensageria/real kafka flume sqs apis microsserviços testes devops ci/cd idioma inglês - intermediário
84, microsserviços arquitetura lambda kappa orientada eventos mlflow vivência mercado financeiro web scrap git construção api formação ciências computação engenharia computação sistemas informação análise desenvolvimento sistemas áreas correlatas avançado python scala java linux aws azure avançado sql banco relacionais relacionais processamento streaming batch cdc - change capture raciocínio lógico pensamento analítico ferramentas hadoop spark hive kafka airflow databricks noções kubernetes docker idioma inglês - intermediário
85, profissional gerencia otimiza supervisiona monitora recuperação responsável armazenamento distribuir atuar sql postgree
86, analisar definir soluções desenvolver autonomia definir acompanhar monitorações integrações desenvolver acompanhar todo processo implantação produção arquitetar sistemas distribuídos pipelines confiáveis combinar fontes colaborar equipe construir soluções certas equipes ensino superior tecnologia sistemas inglês avançado comunicação escrita vivência metodologia ágil scrum kanban avançados java frameworks spring linguagens javascript groovy python devops docker kubernets cloud soa modelagem desenvolvimentos interfaces rest angular banco oracle bigdata desenvolvimento microsserviços apis cloud gcp azure mba projetos sistemas
87, ferramentas informática deq edc ferramenta informática engineering quality deq 10.4.1 profile score cards parsing standardizing mapplets ferramenta informática enterprise catalog 10.4.1 integração deq assets business glossary tabular rule scorecard column and field domain lineage impact view relationships view discover profiling import catalog/metadados configuração advanced scanner certificação ferramentas mencionadas
88, desenvolvimento implementação componentes aws - emr cloud formation glue athena apis integration services administração bucket s3 instâncias aws ec2 execução componentes plataforma analytics requerido migração partir fontes sap ecc 4hana sales force sistemas legados c/ bd sql server estruturados planilhas/imagens/etc plataformas digitais redes sociais sites e-commerce internos externos apps datalake aws desenvolvimento lambda functions armazenamento dw datamarts cluster big integração destino banco sql nosql azure sql dw aurora mariadb redshift dynamodb mongodb manutenção scripts python sql r nodejs desejáveis kafka kinesis considerados diferenciais modelagem especificação arquitetura soluções bi analytics seguindo melhores práticas design patterns recomendados internamente fornecedores atuando projetos médio/grande porte relacionados bi analytics implementação soluções bi tradicionais edw big trabalho metodologias ágeis scrum lean kanban
89, atuar engenharia - big requisitos linguagem scala - framework processamento distribuído scala - spark hadoop big básico java -conhecimento cloud azure
90, responsabilidades engenheiro senior responsável fluxo ingestão construir pipelines extração fontes armazenar azure lake python suportar monitorar plataforma cliente bancos tecnologias relacionadas tais sql server oracle hadoop python databricks pyspark azure factory azure lakes storage account gen2 bancos tecnologias relacionadas tais sql server oracle hadoop desejáveis metodologia ágil scrum/kanban git azure devops inglês avançado idioma inglês - fluente
91, procuramos engenheiro background desenvolvedor ingestão construção aplicações analíticas área saúde estratégias ingestão incrementall full particionamento shell script ambiente linux linguagem python versionamento git sistema tasy
92, arquitetar desenvolver otimizar sistemas backend startup trabalhar conjunto desenvolvimento software produto desenvolvimento sistemas recomendação análises tempo real interação dividir projetos subprojetos possam delegados mentor técnico humildade paciência importantes questionar sobre qualquer informação apresentada relevante desenvolvimento grande complexidade engenharia substancial revisão códigos documentação unit integration testing engenharia software principalmente python desenvolvimento consumo apis django nodejs robusta bases sql nosql postgres cassandra dynamodb mestrado maior grau ciência computação mercado financeiro idioma inglês - intermediário
93, dia-a-dia profissional atuará po visão negócios ajudar times discussões tomadas decisão deverá ter entendimento arquitetura fastdata nearrealtime realtime batch modelagem além atuar engenheiro construção ingestão base requisitos áreas negócios transformações construção etl batch construção etl análise validação bases sql nosql construção serviço consumo api ambiente linux elasticsearch git gitflow hadoop hdfs partionamento hbase hive jenkis python scala spark sql sql hive impala bigtable bigquery firestore storage pub/sub python cloud function
94, engenheiro responsável ingestões componentes google cloud plataform responsável manutenções ingestões processos componentes hadoop hortonworks deverá desenvolver ingestões transformações automação pipeline implementação monitoramento testes desenvolvimento ficará alocado squad ágil seguirá backlog dado product owner equpe hadoop hdfs partionamento metodologia ágil vivência/experiência modelo ágil desenvolvimento produto/software scrum kanban etc relevante menos abaixo java python spark scala linguagem sql banco relacional oracle processos carga batch streaming origem destino bancos nosql hbase elastic search mongodb hive comprovada cloud google pipelines ingestão google cloud arquitetura big hadoop google cloud platform construção lakes warehouses construção dashboards modelagem multidimensional inglês avançado/ técnico capacidade analítica visão sistêmica postura dono
95, resolução problemas boa compreensão capacidade sistemas gargalos noções básicas memória cpu armazenamento redes compreensão elementos infraestrutura maneira geral rede so armazenamento python diferenciais spark java scala desenvolvimento software api apache kafka sdk micro serviços manipular bases tipo-sql diferenciais hbase cassandra parquet avro desenvolvimento etl apache beam excelente bancos relacionais não-relacionais soluções integração apis softwares técnicas habilidade entendimento negócio cliente identificar relevância manipulados habilidades resolução problemas boa compreensão capacidade sistemas gargalos noções básicas memória cpu armazenamento redes linux ..
96, banco sql postgre mongodb linguagem sql python avançado ssis dataflow cloudstorage pubsub desenvolvimento api s análise solução problemas transitar bem tecnologia negócios superior completo ti modelagem integração progress
97, realizar ingestão lake hadoop através pyspark estruturar queries origem sql lake realizar consumo filas kafka estruturar estratégia ingestão objetivo viabilizar dado consumido adequada cliente considerando format camadas hdfs processo gravação hdfs estruturar queries impala consumidos dashboards criados powerbi dashboards responsabilidade outro fundamentos big hadoop hdfs partionamento hive impala kafka python shell script spark sql sql hive impala vivência streaming
98, desenvolvimento rotinas linguagens atreladas cada ambiente python spark etc desenvolvimento automações batimento validações etc gerando alertas insumos ações gestão recursos espaço cpu licença etc identificação desvios etc desenvolvimento monitorações/alertas garantir execução processos conforme schedule definido execução dentro schedule ans esperado analise implantação controle regras segurança permissionamento etc geração insumos bases logs etc construção painéis monitoração otimização passagem processos produtivos gestão sustentação construção pareto incidentes plano ação correção causa raiz ofensores mapeados construção base incidentes erros conhecidos procedimentos operacionais etc desenvolvimento técnico/treinamento recursos internos teradata hadoop hdfs partionamento hive python shell script spark sql sql hive impala tableau
99, hive python spark - streamsets - rundeck orquestrador processos
100, atuar squads projeto cujo objetivo implementação ambiente cloud analytics sql datafactory principal sql saiba lidar cloud azure databriks plus ótimo sinapse
101, traduzir necessidades negócios requisitos técnicos projetar desenvolver implantar oferecer suporte negócio através desenvolvimento soluções técnicas executar tarefas manipulação/preparação alteryx além consultas sql/hql compartilhar disseminar boas práticas key-users end-users ótima comunicação autonomia senso urgência foco capacidade sintetizar informações técnicas negócios partes interessadas individuais técnicas técnicas considerados diferenciais certificações alteryx
102, processos automatizados big preparar monitorar rotinas reportes periódicos garantir ingestão disponibilização ambientes bi desenvolver políticas procedimentos coleta análise revisar validar disponibilizados bi interagindo equipes multidisciplinares big sql spark python pyspark hadoop vivência áreas analytics vivência indicadores eficiência operacional gestão portfólio
103, atuar splunk enterprise ingestões painéis otimização consultas melhorias performance comandos python vivencia ambiente bigdata hdfs hive spark hbase linux shell script python sql certificação splunk
104, desenvolvimento alavancando framework spark ecossistema bigdata .desenvolvimento java python scala pipelines integração ambientes cloud azure preferencialmente pipeline devops jenkins sonarqube fortify idioma inglês - fluente espanhol - fluente
105, procuramos profissional apaixonado transformar informação atue ingestão integração processamento bigdata databricks datafactory azure deve ter pipeline ingestão implementação evolução processos ingestão integração python pyspark databricks datafactory azure hadoopexperiência modelagem interessante saber metodologias ágeis dashboards power bi
106, irá apoiar cliente otimizar processos ingestão atuais bem desenvolver novos processos ambiente linux aws git gitflow python sql
107, profissional atuará desenvolvimento app programa pontos fidelidade cliente varejista grande porte entender necessidades clientes desenvolver aplicações resilientes falhas construções documentações técnicas metadados catálogos arquitetar sistemas distribuídos pipelines confiáveis combinar fontes arquitetura soluções colaborar equipe science construir soluções certas equipes fundamentos big gcp hbase nosql python scala spark sql arquitetura big hadoop google cloud platform construção lakes warehouses aplicação front business intelligence tableau power bi construção dashboards modelagem multidimensional
108, responsável construir processos ingestão pyspark processos etl sql ambiente linux docker git gitflow python shell script spark sql sql hive impala access
109, requisitos obrigatórios desenvolvimento etl pentaho integration pdi modelagem dimensional bi warehouse mongodb requisitos desejáveis amazon redshift glue aws pyton neo4j
110, duas oportunidades engenheiro/consultor pleno sênior vivência ti big hadoop cloudera hortonworks vivência hive vivência hdfs vivência shell unix vivência desenvolvimento python scala vivência spark map reuce zooeper ragner clt + benefícios remoto
111, prestar serviços soluções tecnológicas avançados prévia relevante soa avançados design patterns api # 39s micro serviços cloud computing aws preferencialmente modelagem banco relacionais no-sql infraestrutura redes protocolos ci/cd kubernetes/docker inglês java springboot flutter angular reactjs kafka idioma inglês - fluente
112, responsabiliza-se garante construção/desenvolvimento/implementação solução técnica entendimento funcional requisito negócio traduzir fluxo modelagem hive/hbase implementação fluxos pipelines principalmente spark distribuição processamento paralelo destino pode arquivos api elasticsearch sftp linguagem programação scala implementação fluxos arquitetura orientada eventos apache kafka padronização tipo mensagem avro/protobuf/json tecnologias git jetbrains intellij hadoop yarn hive apache hbase apache spark apache kafka protocolo protobuf bash shell script
113, atuar processos etl ferramentas etl power center bdm engenheiro ferramentas power center bdm desejáveis banco sql server framework ágil
114, modelagem ambiente cloud levando conta fonte datasus auxílio arquitetura cloud suportar reports integrações baseadas datasus suporte integração datasus outras fontes mercado internas qualificações essenciais ramo farmacêutico saúde modelagem trabalho base datasus regras existentes acesso informações datasus soft skills comunicativo ownership autodidata hands-on proatividade linguagem programação java python scala cloud aws azure gcp etl idioma inglês - fluente
115, atuar engenharia projetos big nuvem projetos big pyspark conjunto ferramentas relacionadas big aws kafka emr kinesis redshift s3 glue athena elasticsearch ferramentas provisionamento infraestrutura cloud via código tais terraform cloudformation bancos relacionais hbase dynamodb cassandra mongodb prática ingestão integração processamento armazenamento grandes volumes linguagem python java scala ferramentas etls modelagem relacionais dimensionais warehouse compreensão bancos relacionais sql server postgresql mysql tecnologias relacionadas ecossistema hadoop tais hdfs hbase mapreduce spark hive sistemas baseados unix
116, sabemos grandes resultados alcançados grande equipe procuramos pessoas talentosas apaixonadas desejo crescer profissionalmente trajetória carreira conosco papéis responsabilidades engenheiro apoiar cliente engenharia reversa validação ambiente big atuará tanto desenvolvimento fluxo carga quanto validação regras negócio qualidade qualificações essenciais processos etl elt projetos big engenharia arquitetura batch streaming lambda kappa plataformas cloud big ingestão processamento datalake warehouse sólidos linux containers docker construção publicação sql shell script apache spark hadoop java scala modelagem rdb colunar elk elasticsearch logstash kibana etl nifi streamsets logstash gcp aws construção dashboards análise grafana kibana power bi tableau certificação aws gcp cloudera
117, atuar técnicas captura tratamento estruturação arquitetura processamento escalonamento horizontal big cloud computing paas atuando engenheiro python gcp operar sistemas operacionais linux centos rhel shell comandos intermediários edição arquivos vim acesso remotto ssh outras operações baseadas unix interface gráfica gui linguagem programação python scala spark arquitetura big tecnologias escalonamento horizontal conceitos mpp cluster kubernetes devops git jenkins pipeline deploy jira confluence integração manipular comandos ddl dml fazer junções agregações ordenação tabelas linquagem sql tecnologias spark funções classes métodos processamento fluxo tecnologias escalonamento horizontal google cloud vms dataproc cloud storage airflow desejáveis boa comunicação proatividade aberto conhecer tecnologias cliente
118, eleflow nasceu tornar big analytics machine learning acessíveis empresas desenvolvedores engenheiros cientistas analistas experientes motivados curiosos diferenciadores projetos atuamos requisitos · nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência processos extração padronização carga etl ferramentas linguagem programação.· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspconhecimentos melhores práticas automação carga bem governança dados.· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência realizando análise via sql.· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência sql java/scala python shell script automação· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsplógica programação boas práticas desenvolvimento· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência menos ambiente cloud aws azure gcp ibm cloud.· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência serviços cloud azure similares azure lake factory databricks.requisitos diferenciais · nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspexperiência/conhecimento projetos mdm visão única clientes lgpd· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspazure lake factory databricks.· nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspstory telling organizado senso urgência priorização
119, hadoop hdfs partionamento metodologia ágil vivência/experiência modelo ágil desenvolvimento produto/software scrum kanban etc relevante menos abaixo java python spark scala linguagem sql banco relacional oracle processos carga batch streaming origem destino bancos nosql hbase elastic search mongodb hive comprovada cloud google pipelines ingestão google cloud arquitetura big hadoop google cloud platform construção lakes warehouses construção dashboards modelagem multidimensional inglês avançado/ técnico capacidade analítica visão sistêmica postura dono teradata hadoop hdfs partionamento hive python shell script spark sql sql hive impala tableau senso urgência comunicação comprometimento
120, responsabilidades atuar sustentação sistemas ferramenta power center desenvolvimento manutenção mapas workflows power center mapping designer workflow manager monitor ctrl-m. migração objetos power center ambientes repository manager queries sql oracle básico shell script desejáveis banco oracle bdm framework ágil/scrum comportamentos esperados bom relacionamento interpessoal organização disciplina trabalho dinamismo proatividade facilidade trabalho equipe solução problemas busca soluções
121, responsável desenvolvimento pipeline ferramenta informatica cloud trabalhos grandes volumes performance tuning processos etl extração ambiente sap salesforce graduação carreiras exatas construção lakes ambiente big trabalhos grandes volumes profissional dinâmico ambiente cloud azure instalação informatica cloud ambiente linux azure synapse azure sql databricks factory certificação informática cloud idioma inglês - fluente
122, vamos juntos neste desafio saiba ... ferramenta engineering integration dei 10.4.1 mapping components object operations transformations expressions functions mapplets segmentes mapping parameters hierachical processing ferramentas google cloud plataform gcp pubsub gcp dataflow processamento streaming soluções gcp dataproc processamento spark sqoop spark streaming troubleshotting gcp dataproc informatica dei 10.4.1 pontos fortes certificação ferramentas mencionadas ibm datastage 11.x cloudera 5.8.x sqoop beeline hive hue criptografia/mascaramento lgpd conceitos camada bruto confiável refinado
123, apoiar cliente engenharia reversa validação ambiente big atuará tanto desenvolvimento fluxo carga quanto validação regras negócio qualidade processos etl elt linguagem ansi-sql ambiente aws glue athena s3 dynamodb elasticsearch cloudwatch lambda nifi redshift databricks ambiente azure azure lake databricks hdinsights factory synapse sql-dw gcp dataflow cloudstorage bigtable bigquery programação python spark cloudera scala kafka desejáveis certicações cloud providers inglês fluente conversação familiaridade framework ágil idioma inglês - fluente
124, traduzir necessidades negócios requisitos técnicos projetar desenvolver implantar oferecer suporte negócio através desenvolvimento soluções técnicas desenvolvimento ferramenta informatica bdm dei - engineering integration big management powercenter tradicional linguagem sql ansi modelagem banco oracle comunicação autonomia senso urgência foco capacidade sintetizar informações técnicas negócios partes interessadas técnicas técnicas qualificações desejáveis alteryx inglês intermediário leitura escrita
125, desenvolvimento processos etl fontes variadas junto outras equipes técnicas manutenção infraestrutura instituto cordial bancos postgresql máquinas virtuais big query gcp dl st dw processamento eventual desenvolvimento algoritmos geração variáveis análise disponibilização variáveis equipes internas squads projetos iniciativas dms desenvolvimento eventual soluções computacionais contribuir otimização aprimoramento processos equipes internas squads projetos iniciativas acompanhamento desenvolvimento manutenção plataformas desenvolvidas fornecedores externos ensino superior completo ciências computação engenharia computação áreas correlatas vivência programação bash linux debian sql python necessário google cloud platform sdk ferramentas administrativas gcp big query compute engine flow diferenciais processamento geoespaciais especialmente postgis ferramentas etl pentaho análise estatística redes sociais r desenvoltura outras linguagens programação java c++
126, atuar desenvolvimento novos produtos aws responsável implementar lakehouse irá dar suporte área envolvam glue python atualizar evoluir documentações existentes bem apoiar execução novos documentos apoiar construção pipeline automação processos internos requisitos mandatórios sql pl/sql avançado procedures languages desenvolvimento scripts python shell script ecossistema aws especialmente glue banco relacionais mysql postgresql banco nosql/newsql redshift requisitos desejáveis gestão mudanças itil agile kanban/scrum orquestração containeres informações adicionais
127, atuar desenvolvimento novos produtos aws responsável implementar lakehouse irá dar suporte área envolvam glue python atualizar evoluir documentações existentes bem apoiar execução novos documentos apoiar construção pipeline automação processos internos sql pl/sql avançado procedures languages desenvolvimento scripts python shell script ecossistema aws especialmente glue banco relacionais mysql postgresql banco nosql/newsql redshift gestão mudanças itil agile kanban/scrum orquestração containeres
128, liderar equipe técnica traduzir necessidades negócios requisitos técnicos projetar desenvolver implantar oferecer suporte negócio através desenvolvimento soluções técnicas formação superior ti preferência ciência computação engenharia sistemas áreas equivalentes liderança técnica gestão equipes power center desenvolvimento ferramenta informatica dei - engineering integration big management powercenter tradicional linguagem sql ansi modelagem banco oracle ótima comunicação autonomia senso urgência foco capacidade sintetizar informações técnicas negócios partes interessadas técnicas técnicas qualificações desejáveis alteryx inglês intermediário leitura escrita idioma inglês - intermediário
