idx,nltk
48, responsável adotar modelos estatísticos tonar ferramentas tecnologias big efetivos analisar identificar tendências explorar quais problemas precisam resolvidos obter fontes primárias secundárias manter bancos desenvolver implementar análises sistemas coleta outras estratégias otimizem eficiência qualidade estatística `` interpretar analisar resultados utilizar técnicas estatísticas '' identificar analisar interpretar tendências padrões conjuntos complexos trabalhar gerência priorizar necessidades negócios informações localizar definir oportunidades melhorias processo trabalhar conjunto analistas identificar oportunidades melhorias desenvolver visualizações infográficos dashboard materializar descobertas elo áreas consumirão área tendo viés técnico observando necessidade negócio referência times atuaram disponibilização ferramentas negócios parceria profissional atuará áreas ensino superior conhecer modelos estatísticos utilizar sql exploração linguagens programação linguagens programação r python julia scala java ferramentas utilizadas science pacotes análise sas matlab octave spss ibm watson analytics power bi
49, design desenvolvimento depuração projetos aprendizagem máquina ênfase processamento linguagem natural nlp visão computacional cv projeto desenvolvimento depuração pipeline infraestrutura necessários conduzir modelos aprendizagem máquina produção desenvolvimento aplicações baseadas aprendizagem máquina ênfase nlp cv análise características melhores práticas desenvolvimento software amazon web services aws trabalho ambientes ágeis familiaridade computação afetiva detecção emoções análise sentimentos ensino superior completo ciência computação engenharia computação análise sistemas áreas
50, descrição área pré-vendas foco tecnologias business analytics realizando entendimento necessidades clientes arquitetura soluções técnicas realização provas conceitos implementações apresentações elaboração propostas serviços técnicos objetivo desenvolver soluções bigdata analytics gerem valor companhia disseminar cultura bigdata companhia buscar constante atualização melhoria processos produtos área conduzir acompanhar comerciais ações pré- vendas relacionadas ciência projetos science machine learning inteligência artificial responsabilidades conduzir projetos iniciativas big inteligência artificial machine learning objetivo identificar oportunidades negócio frentes geração receita redução custo novos negócios aplicar técnicas ciência resolução problemas complexos negócio sempre orientado resultados relevantes companhia atuar projetos médio grande portes apoiar business analytics entrega projetos buscar melhorias processos business analytics big companhia garantindo aplicação melhores práticas atualizando processos internos busca atualização tecnologias modelagens aplicáveis negócio stakeholders internos comercial produtos operações tecnologia diretoria externos clientes requirements and skills profissional atuando área bi estatística projetos bigdata analytics science and business intelligence/analytics ibm cognos ibm spss modeler and spss statistics r machine learning artificial intelligence ai microstrategy apliance warehouse netezza hexadata ibm watson ibm streams hadoop mongodb mariadb sap sybase iq tableau qlik cognos avançados desenvolvimento aplicação algoritmos aplicados science resolução problemas aplicação projetos séries temporais forecasting redes neurais sistemas recomendação clusterização árvores decisão análise comportamento perfil analítico pró-ativo colaborativo facilidade trabalhar bases relacionais estruturados flexibilidade/adaptabilidade atuar ambiente dinâmico idiomas inglês avançado
51, atuar programação desenvolvimento codificação formação superior completo - mestrado tecnologia informação ciências computação - superior completo ciência computação idiomas - inglês | avançado engenheiro
52, atuando cientista técnicas machine learning algoritmos avançados pacotes science r python tensor flow teano etc capacidade comunicação storytelling super importante dia-a-dia desse profissional ! mandatório inglês avançado mandatório microsoft azure databricks datafactory mandatório devops mlops dataops mandatório kubernetes dockers containers graduação completa
53, responsável análises/estudos ampliação cliente trazendo insights oportunidades negócio desenvolver implantar modelos voltados alavancar negócios trabalhando junto mkt crm produtos montagem algoritmos modelos propensões focados estratégia negócio exemplos redução churn aumento spending cartão oferecer melhores oportunidades investimentos clientes mapeamento melhores perfis audiências aquisição avaliação clientes propensos produtos específicos etc enxergar soluções negócio grandes conjuntos criando insights hipóteses convertendo oportunidades trabalhar próximo crm mkt produto apoiar implementar decisões alta qualidade baseadas automatização resultados modelos serem utilizados campaign demais áreas ajudar cultura empresa contribuir desenvolvimento business case quais requisitos vaga modelagem crm pensamento analítico ter boa visão negócios propor caminhos análises evolução negócio estatística linguagens sql r sas python similares facilidade navegar mundo transacionais online orientado resultados capaz lidar vários projetos habilidade gerenciamento tempo digital analytics aws manipulação estruturação
54," venha fazer parte banco sofisa ! ! ! sofisa banco sofisa bancos tradicionais segmento middle market 60 anos mercado detemos título 1º banco digital brasil 2019 2020 ganhamos prêmio whow ! banco inovador país sofisa direto movimento expansão busca arrojados capacitados fazer parte desse desafio quais responsabilidades construção modelos estatísticos crédito manipulação construção lake etl books construção políticas crédito motor regras decisão validação acompanhamento ratings políticas crédito manutenção/ajustes construção indicadores reports quais requisitos vaga domínio programação manipulação banco modelagem estatística linguagens python r sql sas construção implantação modelos preditivos modelagem crédito ter atuado instituição financeira construção modelos prevenção fraudes quais benefícios · salário fixo + variável · vale refeição r $ 831,16 · vale alimentação r $ 654,87 · vale transporte · plano saúde coparticipação · plano odontológico · seguro vida · auxílio creche · convênio academia local trabalho paulo atualmente home office todas vagas abertas pessoas deficiência ! inscrever link fique atento e-mail esqueça conferir caixa spam # vemprosofisa"
55, aplicar extração transformação pré processamento através técnicas engenharia atributos realizar implementar análises estatísticas exploração descoberta sobre modelos inteligentes algoritmos aprendizagem máquina acordo natureza problema realizar experimentação avaliar performance soluções candidatas pipelines integrar automatizar todo fluxo solução desde coleta disponibilização resultados dashboards relatórios disponibilizar resultados apoiar desenvolvimento tal atividade mestrado concluído andamento áreas estatística matemática aplicada ciências computação engenharia computação engenharia teleinformática outras áreas correlatas bibliotecas d3 highcharts recharts bokeh plotly inglês intermediário conversação reuniões stakeholders business envios mails leitura produção documentação projetos science machine learning python r familiaridade bancos relacionais relacionais mysql postgresql cassandra and foundationdb trabalhar bem equipe multidisciplinar ferramentas bibliotecas science e.g sklearn pandas seaborn xgboost ... desejáveis tecnologias conteinerização orquestração containers
56, atuar squads projeto cujo objetivo implementação ambiente cloud analytics imprescindível python júpiter plus databriks postura posicionamento pro atividade boa comunicação
57, design desenvolvimento depuração projetos aprendizagem máquina ênfase processamento linguagem natural nlp visão computacional cv projeto desenvolvimento depuração pipeline infraestrutura necessários conduzir modelos aprendizagem máquina produção garantir qualidade código fonte desenvolvimento aplicações baseadas aprendizagem máquina ênfase nlp cv análise características melhores práticas desenvolvimento software mestrado ciência computação áreas ênfase aprendizagem máquina foco nlp/cv amazon web services aws trabalho ambientes ágeis familiaridade computação afetiva detecção emoções análise sentimentos idioma inglês - fluente
58, construir otimizar pipelines além manipular processar extrair valor grandes conjuntos estruturados estruturados construir implantar modelos preditivos através técnicas ferramentas machine learning analisar identificar tendências comportamentos segmentações bases identificação oportunidades melhorias modelos atuais apresentar resultado trabalho diretoria comunicando compreensível devido rigor técnico insights conclusões análises acompanhar desempenho modelos machine learning produção garantindo consistência métricas avaliação resultado esperado áreas negócio participar reuniões áreas negócio identificar problemas oportunidades trabalhar modelo ágil colaborativa contribuir ideias insights suportadas análises construção evolução modelos preditivos compartilhar demais integrantes modelagem cargo python sql fluência bibliotecas machine learning sklearn pandas scipy numpy xgboost modelagem preditiva gestão risco crédito cobrança ter ferramentas programação r python excel amazon rds inglês técnico plataformas ferramentas automação machine learning ter atuado equipe modelagem estatística instituições financeiras formação superior completo áreas exatas matemática estatística engenharia ciências computação
59, responsável coletar gerenciar transformar modelos utilizáveis grande quantidade não-estruturados possível extrair desse conjunto informações relevantes profissional capaz interpretar fazer comuniquem si façam informações múltiplas ganhem valor agregado possam tornar produtos valiosos empresa
60, modelagem ambiente cloud levando conta fonte datasus auxílio arquitetura cloud suportar reports integrações baseadas datasus suporte integração datasus outras fontes mercado internas qualificações essenciais ramo farmacêutico saúde modelagem trabalho base datasus regras existentes acesso informações datasus soft skills comunicativo ownership autodidata hands-on proatividade linguagem programação java python scala cloud aws azure gcp etl idioma inglês - fluente
61, coordenar equipe responsável coletar extrair transformar informações relevantes partir não-estruturados coordenar equipe responsável identificar oportunidades traduzi-los oportunidades negócios ensino superior completo área tecnologia informação pós-graduação ciência estatística correlatos matemática estatística fundamentos linguagem programação banco machine learning deep learning apresentação visualização infraestrutura big hadoop mapreduce spark técnicas inteligência artificial inteligência negócios
62," projeto desenvolvido parceria foco identificação triagem problemas preparar bases executar experimentos avaliar resultados propor melhorias algoritmos machine learning python inglês bolsa auxílio r $ 900,00 r $ 1.100,00 depende ano formação ensino superior engenharia/ciência computação sistemas informação similar"
63, auxiliar suporte ti atendimentos troca auxilio manutenção básica equipamentos ti controle estoque equipamentos substituições acompanhamento usuário acessos senhas suporte sistemas informatizados demais área superior cursando
64, trabalhar partes interessadas toda organização identificar oportunidades alavancar empresa gerar soluções negócios analise bases empresa gerar otimização melhoria desenvolvimento produtos serviços estratégias negócios avaliar eficácia precisão fontes técnicas coleta desenvolver modelos algoritmos personalizados aplicar conjuntos usar modelagem preditiva aumentar otimizar geração receita solucionar problemas negócio clientes resultados comerciais desenvolver estrutura teste b empresa qualidade modelo teste trabalhar diferentes equipes funcionais implementar modelos monitorar resultados desenvolver processos ferramentas monitorar analisar desempenho modelo precisão formação superior completa exatas ciência computação forte capacidade resolução problemas ênfase desenvolvimento produtos/serviços experiencia linguagens estatísticas computadores r python slq etc manipular desenhar informações grandes conjuntos experimente trabalhar arquiteturas
65, colaborar desenvolvimento projetos estratégicos partir clínicos identificação oportunidades assistência médica multiprofissional alinhados diretrizes estratégicas dr.consulta colaborar desenvolvimento estruturados prontuário eletrônico participar elaboração ferramentas coleta clínicos colaborar desenvolvimento novos produtos linhas cuidados partir ferramenta coleta elaborar realizar manutenção indicadores clínicos através busca tabulação formatação geração informações gestão identificar melhorias sistema indicadores incluindo rastreio conferência produção interpretações relevantes através informações geradas suportar desenvolvimento modelos árvores decisão possam medir perfis riscos populacionais aderências protocolos performance assistencial realizar análise suportar melhorias bases medicações prontuário eletrônico suportar desenvolvimento indicadores resultados relatados pacientes partir modelagem desenvolver ferramentas através modelagem diagramas árvores decisão colaborar desenvolvimento indicadores saúde relacionados linhas cuidado pacientes suportar processo expansão identificando oportunidades complementaridade assistencial rede participar projetos desenvolvimento sistemas colaboram automatização melhoria processos médicos contribuindo desenvolvimento módulos assistenciais módulos assistencial módulos administrativos prontuário eletrônico estatística sql r python ferramentas bi domo tableau etc. técnicos modelos diagramas árvores decisão sobre microsoft office excel power point word - avançado instrumentos gestão qualidade processos saúde sobre microsoft office excel power point word - avançado sobre google gmail hangouts google agenda google drive google docs google sheets google slides - avançado graduação completa mba pós-graduação concluída
66, desenvolver análises liderar projetos estratégicos orientados áreas negócio desenvolver modelos algoritmos matemáticos tecnologias big inteligência artificial machine learning business intelligence bi analytics automações acompanhamentos redes produtos indicadores gerenciais operacionais suportar gestor imediato clientes internos externos estudar diretrizes metodologia roteirização distribuição elaborar estudos avançados impacto viabilidade modelando criando indicadores definindo métricas metodologias métodos estatísticos participando projetos conduzir frentes trabalho atuar desenvolvimento reciclagem equipe transmissão apoiar estratégia área municiar diretoria autoatendimento informações análises contribuíam tomada decisões buscando melhorias processos aprimorar serviço produtividade empresa viabilizando interações sistêmicas suporte implementações imprescindível formação superior completo áreas engenharia administração empresas estatística matemática economia tecnologia desenvolvimento análises soluções otimização processos capacidade analítica avaliar análises performance tendências desvios manipulação banco modelagens estatísticas desenvolvimento algoritmos simuladores aplicações linguagens sql programação r python power bi noções computação nuvem desenvolvimento algoritmos simuladores aplicações ciência conceitos fundamentos estatísticos modelos estatísticos matemáticos domínio office excel avançado noções ferramentas análise soluções problemas ferramentas produtividade qualidade comunicação escrita oral adequada diferentes níveis treinamentos/certificações desejáveis big-data machine learning business intelligence
67, desenvolvimento análise relatórios diversos relatórios gerenciais transformação etl set analysis dashboards objetos interpretação tabelas fato dimensão desenvolvimento métricas kpi´s banco entendimento regras negócio pró-atividade atenção detalhes interesse comprometimento qualidade trabalhos
68, fazer manutenção métricas setor saúde auxiliar vários líderes gestores atingir metas - receber solicitações registrar trabalhos executados - realizar levantamentos definir métodos recursos necessários desenvolvimento - assessorar tecnicamente gestores áreas integração processos demais áreas interface - levantar extrair analisar - efetuar análise impactos hipóteses mudanças previstas sistemas - desenvolvimento manutenção kpis dashboards relatórios - desenvolvimento relatórios gerenciais estratégicos - desenvolvimento script sql monitoramento ajustes contínuos desempenho automação relacionadas ambiente bi - linguagem sql ddl dql dml dcl - modelagem multidimensional datawarehouse - etl pentaho sql server integration service talend hadoop - análise exploratória visualização tableau qlik sense power bi microstrategy microsoft excel python - gerenciamento banco relatórios - análise negócio
69, auxilio organização/mensuração tempo dispendido atendimento sócios agendamentos gerais auxílio comitê comercial tange organização controle informações diversos temas área auxílio auditoria interna/garantia correta sistema ats/cdm tange cadastramento empresas off limits melhoria `` categorização '' sistema inserção auxiliar filtros/views padrão área comercial dashboards coordenar três analistas reportará sócios porém interface vários inglês - avançado ter atuado área gestão pessoas power bi excel ter gestão gráficos gestão kpis grande
70, garantir confiabilidade informações geradas área modelar desenvolver kpis relatórios gerenciais áreas negócio consolidar resultados gerar análises tomada decisão desenvolver modelar validar garantir integridade atualização banco bi gerar atualização armazenamento banco bi otimizar processos através automatizações desenvolvimento queries hard skills excel avançado sql avançado power bi/qlikview/tableau tecnologia banco lógica programação dw etl soft skills visão negócios lifelong learning aliar teoria prática raciocínio lógico curiosidade
71, extrair limpar estruturar analisar tomada decisões desenvolver relatórios novos modelos análise técnicas estatística identificando oportunidades melhorias performance acompanhar indicadores internos externos avaliar desempenho negócio elaborar estudos apresentações conforme áreas ensino superior cursando ti administração engenharias formação acadêmica compatível análise indicadores avançado excel linguagem sql ferramentas visualização power bi studio qliksense tableau similares facilidade trabalho equipe capacidade analítica proatividade python vivência varejo diferenciais
72, missão cargo fornecer análises modelos suportem tomadas decisão crédito cobrança fraude áreas empresa autônoma auxiliando analistas responsabilidades - identificar oportunidades viabilidade auxiliar tomadas decisão - desenvolver implementar monitorar modelos preditivos bem documentar todo processo - escorar modelos realizar backtests - apresentar discutir modelos áreas envolvidas tomadas decisão - fazer análises auxiliem tomada decisão - gerenciar projetos relacionados área - transmitir apoiar analistas entregas prévia áreas modelagem crm políticas crédito cobrança engenharia resultados finanças riscos precificação modelagem preditiva requisitos programação python r sas
73, traduzir objetivos negócios cliente estratégia gerenciamento informações inteligência negócios integrada consistente gestão contas promover permitir importação exportação práticas recomendadas conta vincular conta práticas emergentes indústria campos bi desenvolver promover visualização criativos obter inteligência acionável realizar modelagem financeira análise compilação quantitativos atuar previsão tendência desempenho fornecer orientação liderar resolução problemas desenvolver recomendações base interpretação análise transformar comportamentos técnicas desenvolver ferramentas painéis automatizados equipe ti fornecer insights tempo real corporativos conceitos estatísticos avançados determinar fontes significativas variabilidade projetar integração vários sistemas armazéns gerenciáveis modelos analíticos entender necessidades definir gerenciar expectativas cliente dentro restrições sistema projeto contrato proporcionando tempo atendimento excepcional aprimorado formação ciências contábeis engenharia software similares tableu excel etl alterix rpa melhoria processos linguagens programação análise r python sql vivência mining estatística infraestrutura big hadoop mapreduce spark machine learning inglês fluente mandatório idioma inglês - fluente
74, entendimento necessidade arquitetura integração salesforce implantação crm salesforce desenvolvimento manutenção mapas etl informática cloud power center integração sales cloud solução problemas integração salesforce atendimento controle ferramenta alm consulta soql consulta oracle
75, atuar sql apis alteryx - plataformas digitais facebook google - elaboração dashboards indicadores performance meio consultas banco análise geração insights áreas negócios manipulação etl datawarehouse ferramentas suporte sla desenvolvimento documentações suporte cliente powerbi tableau manipulação base interno externos
76, gerenciar desenvolver melhorar manter painéis power bi dar suporte gerenciar licenças garantir atualização diária painéis suportar power bi u.os departamentos empresa garantir algoritmos cálculo indicadores provas conceito disponíveis didaticamente apresentados empresa manter participar elaboração rotinas python planilhas compostas macros tabelas gráficos dinâmicos formação adminstração ti power bi - avançado sql - intermediário lógica programação raciocínio lógico alguma programação desenvolvimento sistemas habilidade desenvolvimento front-end ter alguma apresentação visual dashboards painéis gestão vba - intermediário python - básico
77, desenvolver visualizações customizados power bi participar reuniões clientes apresentar sistemas desenvolvidos acompanhar ferramenta realizar levantamento documentação sistemas layout implantação confecção manuais especificações técnicas analisar atuar chamados objetivo atender demanda irá atuar parceria inteligência ti projetos ensino superior completo cursando área tecnologia informação cursos relacionados anteriores área linguagens sql imprescindível power bi importante conheça sistemas contábeis excel avançado power bi banco ter atuado fábricas softwares desenvolvimento mobile
78, pesquisa levantamento demográficos análise cruzamento exposição via tabelas planilhas gráficos desenvolvimento relatórios ter cursado economia estatística matemática software estatísticos estatístico análise descritiva séries temporais amostragem avançado excel trabalhar tabelas planilhas gráficos noção manipular grande volumes
79, atendimento projetos sustentação direcionado bi áreas empresa levantamento requisitos junto área negócio elaboração especificações funcionais técnicas foco bi gerar relatórios extrações manutenções cubos multidimensional manter processos etl dashboards gerenciais estratégicos studio modelagem arquitetura bi dw metodologia agile scrum experiencia projetos área financeira tecnologias ms sql server big query microsoft ssis studio python power bi projetos grande porte
80, reunir informações relevantes clientes através sistema crm limpeza identificação correção informações duplicadas inválidas corrompidas organizar material obter insights valiosos empresa relação comunicação estratégias marketing comportamento usuário previsões produtos sistemas etc garantir qualidade integrações consistência relatórios desenvolver relatórios gerenciais acompanhar resultados fornecer informações áreas negócios acompanhar tendências mercado kpis estimativas sugerindo otimizações automatizar documentos recorrente compreensão completa objetivos negócio extração relevantes montagem relatórios análise apresentação resultados equipe operacional levando insights performance construção etl s alimentação dw organização cubos ajuste formação completa tecnologia informação engenharia computação ciências computação administração empresas marketing administração publicidade propaganda matemática estatística relacionados domínio ferramentas web analytics domínio sql postgressql domínio excel powerpoint raciocínio analítico afinidade números
81, narrativas envolventes através graficos projetos criativos visualização prática moderna trabalhar times multidisciplinares product owner ux marketing sysadmin mindset ágil desenvolvendo soluções encantem clientes enfrentar desafios envolvendo diferentes linguagens tecnologias ensinar aprender constantemente ambiente colaborativo sql plataformas dataviz participação comunidades tecnologia contribuição projetos open source lógico aplicação fórmulas cálculos analítico visão negócio expor informação melhor disparos emkts relatórios microstrategy python redshift mongodb mysql
82, realização análises áreas empresa garantir qualidade integrações consistência relatórios construção painéis dashboards ferramentas bi power bi análise sobre números impactam diretamente resultado empresa auxiliar tomada decisões diferentes frentes trabalho baseando-se propor métricas kpi # 39s extrair tratar comparar através bases ferramentas áreas bases mercado concorrência interpretando gerando insights resultados negócio responsável monitoramento roadmaps acompanhar homologação implantação integrada projetos bi além organizar passagem outras áreas organizar recebidas realizando levantamento informações entendimento necessidades especificar requisitos requisitos modelagem etl bom excel power bi manipulação bancos relacionais sql sobre lakes warehouses considerado segmento distribuição considerado python/r considerado formação graduação completa administração estatística finanças engenharia marketing áreas correlatas
83, allis empresa trade marketing busca resultados cliente trabalhamos grande empesas segmento buscando bi equipe assim auxiliar trazer melhor resultados analises clientes irá atuar analisar interpretar resultados buscando otimizações levantar requisitos negócios colaborando modelagem serem tratados elaboração mensais semanais dashboards analise correlações projeções elaboração pareceres interpretação automatização relatórios power bi linguagem dax power bi - intermediário/avançado power query - intermediário dax - intermediário/avançado
84, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração formação superior comunicação social jornalismo publicidade marketing avançado campanhas linkedin facebook ads fundamentais avançado google ads estratégias campanhas search display shopping app vídeo avançado campanhas linkedin facebook ads intermediário campanhas instagram ads google analytics aferir resultados tagueamento utms campanhas aferir resultados corretamente certificação google ads através academy ads google menos fundamentos publicidade pesquisa sólido excel/google sheets planilhas compilação google studio podem fazer diferença formação superior comunicação social jornalismo publicidade marketing certificação todos níveis google adwords através academy ads google fundamentos publicidade pesquisa publicidade display publicidade mobile publicidade vídeo publicidade shopping integração google ads google tag manager instalação pixel avançado campanhas linkedin facebook ads intermediário campanhas instag
85, responsável levantamento necessidades clientes desenho modelos construção indicadores bi construção modelos dimensionais multidimensionais construção warehouse mart etl fontes estruturados estruturados pleno power bi pleno ssis ssas
86, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração
87, responsável extrair transformar analisar transacionais contidos ferramentas empresa clientes através processos manuais automatizados atualizar publicar demonstrativos resultados controles key performance indicators relatórios dashboards outras formas visualizações conforme periodicidade acordada cliente empresa analisando validando integridade contidos mesmos excel avançado power bi avançado inglês intermediário
88, manter infraestrutura operações etl lake usaremos etl pronto pentaho pdi garantir integridade datasets automatizar escala serviços infra-estrutura nuvem utilizar linguagens programação automação provisionamento realizar otimizações monitoramento alerta recursos nuvem construir pipeline integrando fontes lake tratando serem consumidos datawarehouse fazendo deploys modelos produção construir códigos scripts limpeza tratamento deduplicação ajuste missing bem enriquecimento relatórios dashboards ensino superior completo sólidos banco padrões casos ferramentas bi limpeza tratamento deduplicação enriquecimento normalização análise etl pentaho pdi cloud aws linguagem programação manutenção pipeline python java r js shell/bash etc banco nosql projetos tableau tableau pentaho pdi machine learning deep learning projetos hadoop amazon emr redshift
89, analisar levanta requisitos definir modelagem modelos serem tratados transformados estudar melhor ferramenta extração rotinas monitoramento dashboards fazer análises elaborar modelos relatórios áreas negócio boas práticas apresentação dashboards sólidos excel power bi banco formação superior completa área tecnologia informação
90, análise desenvolvimento soluções serviços ferramentas disponíveis nuvem aws
91, apresentar melhorias sistemas internos propor inovações tecnológicas organizar tratar informações sugerir melhorias processos internos administrar banco disponibilizar relatórios gerenciais operacionais através ferramentas business inteligence área bussiness intelligence bi habilidades ferramenta power bi microsoft analysis services visual studio banco microsoft sql server ensino superior completo áreas tecnologia informação especialização bi
92, pesquisa mercado voltada área beleza cosméticos agências consultoria inteligência indústria cosméticos farmacêutica varejo bens consumo formação administração engenharia contabilidade economia marketing ciência computação idioma inglês - fluente espanhol - intermediário
93, desenvolvimento análises bi qlik sense manutenção tabelas banco oracle milhões registros inseridosndiariamente manutenção procedures cursores functions views triggers levantamento requisitos mindmeister processos bi ter atuado projeto arquitetura construção ambiente warehouse construção arquitetura servidores etl visualization plataformas qlik sense power b.i
94, emitir relatórios processos análise online análises mineração processamento eventos complexos gerenciamento desempenho negócios análises previsíveis análises prescritivas responsável realizar análises micro macroscópicas mercado meio extração limpeza tratamento análise gerar inteligência negócios conjunto informações podem usados estratégias alcançar resultados metas relatório dre analista business intelligence
95, atuar analista sênior projetos bi dentro multinacional prestando serviços desenvolvimento manutenção treinamento power bi power bi sênior levantamento requisitos bi modelagem dimensional possua facilidade trabalho equipe executar pensando manutenibilidade pensar estratégica alinhando necessidades negócio soluções técnicas eficazes proativo capaz analisar maneiras diferentes resolver desafios facilidade comunicação explicar soluções resultados análises habilidade efetuar treinamentos
96, elaborar produzir relatórios inteligentes áreas tomada decisão bi banco sql
97," empresa ramo alimentício contrata analista business intelligence atuar campinas sp interessados devem enviar currículos mail recrutamento @ fabricadevalores.com.br sigla bivp campo assunto atribuições vaga requisitos raciocínio analítico afinidade números avançados microsoft power bi qlikview tableau projetos business intelligence habilidades comunicação interação domínio excel powerpoint planejamento gerenciamento analise recursos financeiros empresa garantindo acompanhamento rentabilidade gastos recursos disponíveis responsável realizar análises micro macroscópicas mercado meio extração limpeza tratamento análise gerar inteligência negócios conjunto informações podem usados estratégias alcançar resultados metas poderá sugerir novos padrões práticas desenvolvimento levantar hipóteses identificar oportunidades negócio sugerir ferramentas prever ameaças comportamentos resultados campanhas sugerir melhorias equipes administração/finanças analista business intelligence ideal analítico raciocínio lógico familiaridade números planilhas além organização ímpar atuará grandes volumes informação responsabilidades reunir informações relevantes limpeza identificação correção informações duplicadas inválidas corrompidas organizar material obter insights valiosos empresa garantir qualidade integrações consistência relatórios desenvolver apresentar relatórios gerenciais acompanhar resultados fornecer informações áreas negócios acompanhar tendências mercado kpis estimativas sugerindo otimizações automatizar documentos recorrente compreensão completa objetivos negócio extração relevantes montagem relatórios análise apresentação resultados realização relatórios balanços analise despesas buscando sempre maior rentabilidade empresa consolidar relatórios desempenho cada área identificar pontos melhoria propor ações corretivas auxiliando desenvolvimento aumento rentabilidade lucratividade analisar desempenho todas ações estratégicas execução validar demonstrações financeiras análise controle custos gastos despesas análise operações financeiras empresa coleta faturamento análise fluxo caixa simulações projeções estratégicas faturamento identificar resolver problemas econômico-financeiros contato clt salário r $ 4.594,00 vale transporte atuar segunda sexta feira 08:00 18:00 possibilidade horas extras empresa ramo alimentício contrata analista business intelligence atuar campinas sp interessados devem enviar currículos mail recrutamento @ fabricadevalores.com.br sigla bivp campo assunto atribuições vaga requisitos raciocínio analítico afinidade números avançados microsoft power bi qlikview tableau projetos business intelligence habilidades comunicação interação domínio excel powerpoint planejamento gerenciamento analise recursos financeiros empresa garantindo acompanhamento rentabilidade gastos recursos disponíveis responsável realizar análises micro macroscópicas mercado meio extração limpeza tratamento análise gerar inteligência negócios conjunto informações podem usados estratégias alcançar resultados metas poderá sugerir novos padrões práticas desenvolvimento levantar hipóteses identificar oportunidades negócio sugerir ferramentas prever ameaças comportamentos resultados campanhas sugerir melhorias equipes administração/finanças analista business intelligence ideal analítico raciocínio lógico familiaridade números planilhas além organização ímpar atuará grandes volumes informação responsabilidades reunir informações relevantes limpeza identificação correção informações duplicadas inválidas corrompidas organizar material obter insights valiosos empresa garantir qualidade integrações consistência relatórios desenvolver apresentar relatórios gerenciais acompanhar resultados fornecer informações áreas negócios acompanhar tendências mercado kpis estimativas sugerindo otimizações automatizar documentos recorrente compreensão completa objetivos negócio extração relevantes montagem relatórios análise apresentação resultados realização relatórios balanços analise despesas buscando sempre maior rentabilidade empresa consolidar relatórios desempenho cada área identificar pontos melhoria propor ações corretivas auxiliando desenvolvimento aumento rentabilidade lucratividade analisar desempenho todas ações estratégicas execução validar demonstrações financeiras análise controle custos gastos despesas análise operações financeiras empresa coleta faturamento análise fluxo caixa simulações projeções estratégicas faturamento identificar resolver problemas econômico-financeiros contato clt salário r $ 4.594,00 vale transporte atuar segunda sexta feira 08:00 18:00 possibilidade horas extras"
98, gerenciamento elaboração métricas performance empresa organização direcionamento planilhas administração auxílio empresa relacionados finanças stata similares access vba excel vba interesse mercado financeiro investimentos
99, elaborar controlar através dashboards desenvolvido ferramenta tableau bem realizar manutenção identificar sugerir melhorias baseados dados/análises dar suporte decisões gerenciais partir dados/análises dar suporte decisões gerenciais partir tableau sql excel python
100, atuar planejamento desenvolvimento integrações sistemas voltadas otimização estratégias funcionalidades produto responsável monitoramento desenvolvimento validação manutenção métricas funcionalidades personas junto área produto tecnologia apoiar gestão configuração plataformas métricas produto melhoria contínua processos extração relevantes tomadas decisão organizar analisar gerando insights ideias hipóteses rodar experimentos buscando aprimorar desenvolvimento funcionalidades desenvolver reports dashboards gerar integração automatização processos produto tecnologia junto bi-devs times produto bi empresas saas produtos digitais orientado compreendendo claramente análises métricas estatísticas perfil altamente analítico plataformas métricas produto mixpanel projetos pesquisa engajamento retenção ativação demais ações entender melhor comportamento cliente durante produto plataformas visualização bi tableau kibana grafana metabase powerbi google datastudio similares avançado excel/google sheets tratamento jsons csvs apis saiba trabalhar equipe metodologia ágil ágil resolução problemas vibrar desafios situações médio pressão linguagens programação back-end python ruby aws times remotos troca feedbacks francos
101, venha trabalhar ale aqui integrados região trabalhamos acreditamos desenvolvimento sustentável estimulamos criatividade fortalecemos parcerias agimos integridade coerência empreendedores
102, implementação processos etl troubleshooting análise técnica funcional etl troubleshooting realizando consultas sql modelagem processos etl manutenção cenários integração melhorias processos etl melhorias código sql gerenciamento integração grandes quantidade informação versionamento pacotes ferramenta etl documentação processos etl acesso ferramenta etl monitoração jobs execução planejamento desenvolvimento planos execução interação outras equipes entendimento troubleshooting esclarecimento sobre processos etl participar reuniões vídeo- chamadas cliente entender necessidades explicar processos realizar troubleshooting conjunto eventualmente atender chamados resolvê-los horário comercial
103, desenvolvimento dashboards acompanhamento kpi´s áreas negócio powerbi extração transformação carregamento etl desenvolvimento ferramentas análises preditivas estatística inferencial clusterização clientes manutenção relatórios existentes manter práticas aumentar qualidade confiabilidade requeridos power bi excel processos etl´s desejado banco postgre minning metodologias ágeis diferenciais
104, gerir dashboards indicadores métricas analisando resultados apoiar consultores negócios stacks tecnológicos vba business inteligence bi bigdata science inteligência
105, fazer manutenção métricas setor saúde auxiliar vários líderes gestores atingir metas - ensino superior completo pós-graduação completa cursando áreas correlatas - plataformas mv 2000 soul mv
