idx,nltk
228, analisar identificar propor implementar soluções originadas operação/cliente acompanhar efetividade soluções comparando resultados obtidos resultados previstos homologar informações identificar propor ações corretivas preventivas poderiam surgir operação/cliente avaliar identificar propor novos projetos objetivem otimização resultados operacionais executar rotinas diárias repasse informações clientes internos/externos área mis avançado sql power bi excel avançado ensino superior completo cursando tecnologia informação finanças administração
229, desenhar programar queries desenvolver implantar aperfeiçoar arquitetura aderente negócio digital empresa soluções inteligência bi digital responsável elaboração mensal semanal sob demanda relatórios automação análises negócio operação comercial digital cruzamento negócio físico kpis digitais chave definir kpis planos mensuração complexos integrem diferentes mídias digitais auxílio planejamento validação experimento/testes axb otimização conversão ticket médio elaborar projetos início fim qualidade história elaborar apresentações defesas relatórios reuniões times comercial/marketing entregar história juntos análises técnicas avaliar inovar constantemente resultados áreas marketing digital envolvidas atuar parceria equipe mídia branding planejamento estratégico gerar recomendações sobe otimizar formatos canais mensagem call to action previsão resultados desenvolvimento modelos estatísticos descritivos preditivos proatividade entender necessidades negócio jornada cliente compra online saber transformá-las estudo abram hipóteses/ recomendações/ insights acionáveis auxiliar elaboração plano mídia e- commerce marketplace auxiliar análise resultados plano ação estruturação projetos mídia branding comercial auxiliar estruturação campanhas online foco conversão venda ticket médio leads condução testes a/b mensagens anúncios formatos etc análise campanhas mensagens resultado mídia geral canal formato etc reports sob demanda roi projetos digitais anterior gestão mídias ecommerce domínio métricas marketing digital domínio google analytics/adwords avançado domínio google tag manager avançado domínio ferramenta supermetrics domínio ferramenta google studio excel avançado saber escrever query plataforma vtex vivência operacional e- commerce/marketplace varejo power bi qlik sense formação superior completo marketing estatística engenharia administração publicidade especialização e-commerce marketing digital gestão empresarial local trabalho barra tijuca - rj
230, atuar banco microsoft sql server linguagem programação transact-sql stored procedures views queries triggers tableau análise soluções técnicas rotinas modelagem relacional er técnico equipe rotinas etl bulk insert
231, analista desenvolvedor power bi fluig power bi fluig sql mysql ensino superior ciência computação especialização linguagens possuir certificação academia fluig
232, desenvolvimento pipelines datefactory desenvolvimento etl databricks desenvolvimento modelo ssas analysis service power bi desenvolver painéis power bi desenvolver cálculos dax power bi 365 power bi reporting service engenharia ambiente nuvem azure sql python pyspark spark sql
233, realizará manutenção/atualização dashboards criará novos dashboards power bi implementação manutenção aplicações internas low-code apoiará equipe modelagem base novos acompanhamentos elaboração documentação oficial desenvolvimento workshops sobre assuntos correlatos área bi criará relatórios excel extraindo banco google planilha outras ferramentas gerar informações diárias semanais mensais áreas operação power bi outra ferramenta bi bancos entendimento escrita consultas sql
234, prestar suporte erp magendo power bi receber documentar todas solicitações alterações sistemas conhecimeto processos industriais banco linguagens consulta sql e-commerce magento power bi
235, geração validação conteúdo clientes internos atualização validação conteúdo clientes faqs e-mails manuais geração relatórios validação indicadores suporte processos área desenvolvimento software suporte elaboração controles internos excel avançado word power bi inglês básico espanhol básico experiencia indicadores relatórios dashboard power bi
236, descrição vaga suporte controle acompanhamentos diretoria financeira principalmente através power bi ter relatórios financeiros boa capacidade analítica pensamento estruturado requisitos ensino superior completo área administrativa financeira
237, atuar indicadores relatórios performance analisar processos estratégicos setor vivência função bi indispensável excel avançado superior completo administração áreas
238, deverá atuar junto equipe ti interface clientes equipe suporte entendendo atuando melhorias automatizações modelagem relatórios formação análise sistemas ciências computação engenharia sistemas power bi office excel banco sql
239, elaborar apresentações diretoria powerpoint gerar tabelas dinâmicas gerar gráficos gerar fórmulas cálculos excel excel powerpoint avançado power bi raciocínio lógico processos operacionais vivência apresentação montagem indicadores performance kpi estatística etc
240, analisar resultados financeiros elaborar balanços balancetes acompanhar desempenho econômico participa planejamento estratégico identificar desvios propor soluções define controle orçamentário contábil adequado estratégia negócios superior completo pós graduação área controladoria office intermediário/avançado power bi
241, analisa qualidade produtos acabados acordo política definida empresa acompanha indicadores desempenho elabora procedimentos fim garantir conformidade padrões técnicos identificar deficiências processos ensino superior completo engenharia áreas correlatas função formação lead normas :2015 14001:2015 sap power bi ter ênfase sgi
242, atuar torre controle logística centro distribuição entender necessidades business soluções através indicadores logística contribuam melhor atendimento clientes direta sistemas erp wms yms responsável direto acompanhamento controle setups sistemas operacionais superior completo ti sistemas erp wms yms sap ferramentas etl big linguagem sql qlik sense pbi power bi inglês intermediário avançado office avançado
243, acompanhar planejamento manutenção orientar equipe manutenção diagnósticos máquinas propor sugestões melhorias acompanhar orçamentos manutenção ensino superior andamento engenharia manutenção elétrica produção áreas office excel avançado área controle planejamento manutenção vivência qualidade power bi ter 6 meses segmento locação máquinas equipamentos construção civil
244, operação armazenagem transportes precificação serviços elaboração propostas técnicas projetos logísticos armazenagem transporte dimensionamento recursos análise financeira viabilidade operação armazenagem transportes precificação serviços elaboração propostas técnicas projetos logísticos armazenagem transporte dimensionamento recursos análise financeira viabilidade power bi dashboard ensino médio completo habilidade excel
245, trabalhar gerência priorizar necessidades negócios informações localizar definir oportunidades melhorias processo power bi ler extrair transformar preparar carregar ferramentas/relatórios desenvolver consultas banco sql analisar negócio hipóteses devem validadas perguntas devem respondidas entender quais fontes necessárias levantar informações analisar tratar bases importantes responder perguntas definidas relatórios dashboards expor analisado informações descobertas enfim gerar insights tomada decisão apresentar insights descobertas equipe interna portanto comunicação clara requisito importante profissional ponto focal outras áreas empresa cultura bi implementada necessidades relacionadas fiquem alinhadas todos indicadores acompanhados mensurados corretamente analista analista negócios expertise técnica modelos desenvolvimento design banco mineração técnicas segmentação pacotes elaboração relatórios reporting service bancos sql etc programação dax estruturas etl estatística pacotes estatísticos análise conjunto excel excelentes habilidades analíticas capacidade coletar organizar analisar disseminar quantidades significativas informações atenção detalhes precisão entusiasmo pesquisas elaboração relatórios apresentações excel avançado power bi erp protheus v12 ter capacidade trabalhar equipe empatia ter boa comunicação habilidade vivência computacional banco sql extração limpeza tratamento organização
246, elaboração relatórios analíticos resultados análise resultados mensais negócio analisar estudar mercado fomentar resultados força vendas realizar previsão vendas condizente modelo negócios empresa superior completo engenharia produção mecânica administração economia tecnologia análise desenvolvimento sistemas ciência computação programação ferramentas bi python excel avançado vivência área inteligência mercado vendas marketing
247, realizar análises contábeis realizar atualização bi s auxiliar departamento geral análise voltadas números contábeis gerenciais companhia auxiliar elaborar demonstrações financeiras balanço dre dra fluxo caixa dmpl dva atender auditoria externa ensino superior completo ciências contábeis administração áreas análises contábeis gerenciais atendimento auditorias externas sap
248, desafios realizar planejamento controle orçamentário realizar desdobramento metas anuais analisar performance indicadores preparar conduzir reuniões resultados esperamos formação superior completa áreas engenharia excel avançado microsoft project power bi aplicação método pdca gestão projetos planejamento controle
249, desenvolvimento novos itens contato fornecedores rotina voltada acompanhamento desenvolvimento projetos ensino superior completo engenharia sistemas gestão qualidade vivência desenvolvimento novos itens projetos cursos leitura interpretação desenhos excel intermediário power bi desenho técnico diferenciais idioma inglês - intermediário
250, responsável desenvolver implantar dar suporte relatórios web planilhas excel gerar validar primar melhoria contínua indicadores negócios projetos dashboards banco sqlserver mysql reportar indicadores resultados diário hora hora semanal mensal demonstrando variações power bi c # realiza levantando análise informações aprimoramento processos gestão dashboard agilidade praticidade resolução problemas superior concluído avançado excel trabalho equipe
251, análise conformidades elaboração apresentação resultados acompanhamento desenvolvimento indicadores acompanhamento desempenho fornecedores transporte desenvolvimento plano ação buscando melhor performance fornecedores acompanhamento grade coleta fornecedores requisitos ensino superior cursando concluído administração economia finanças informática logística excel intermediário/avançado facilidade comunicação agilidade tomada decisão office principalmente power point - apresentações power bi kpi 's dashboard
252, desenhar soluções ti processos negócios gerenciar projetos unidade negócio cerâmicas sap - módulos logísticos sd mm pp ferramentas bi crm mapeamento processos envolvendo áreas organização capacidade traduzir objetivos negócios requisitos funcionais técnicos claros vivência projetos ti sap sistemas integrados sap métodos ágeis design thinking governança gestão tickets prioridades sla importante senso propriedade orientado solução proximidade cliente comunicação clara autodidata trabalho equipe autonomia idioma inglês - fluente
253, atribuições participar implantações sistemas mes dashboards auxiliar gestão junto cliente diz respeito projetos implantação ministrar treinamentos produtos relacionados atendimentos suporte técnico cliente final atendimento técnico campo formação superior completo engenharia ti necessária windows server instalações softwares sistemas pims historian osi pi softwares bi qliksense powerbi confecção dashboards banco sql necessário programação orientação objetos tecnologias web rest certificados webservers iis tomcat programação .net python noções automação industrial idioma inglês - fluente
254, sobre gestão marcas posicionamento público conceito visual aplicações materiais ações pdv mídias assessoria gerenciamento comunicação digital website fb ig release pr eventos lançamento produto monitorar mercado pesquisa preço/concorrentes pesquisa consumidor coletar analisar relatórios performance b.i capacidade analítica elaboração relatórios mercado euromonitor abihpec gerenciamento preço posicionamento formulação preço calculo margem p l negociação preço fornecedor acompanhar trabalho fornecedores parceiros ativações office avançado corel/ilustrator/photoshop inglês avançado escrita oral superior completo boa comunicação relacionamento
255, lançamentos acompanhamentos contas pagar receber clientes gestão caixa orçamento controles financeiros clientes treinamento suporte sistemas clientes atenção detalhes evitar erros problemas financeiros irá contribuir coleta análise validação informações financeiras medir acompanhar desempenho financeiro organizações conduzindo reuniões equipes clientes desenvolvendo planos ação propondo otimizações gastos contribuindo aumentar rentabilidade organizações rumo metas estabelecidas google studio microsoft power bi contas pagar receber fluxo caixa atuado participações reuniões clientes alinhamento projetos processos área ensino superior completo administração empresas finanças contabilidade gestão empresarial cursos correlatos
256, responsável sistema gestão qualidade programas certificações lock objetivo garantir padrão qualidade boas práticas operacionais descritas políticas procedimentos referencias empresa normas externas irá orientar rotinas qualidade obras avaliará qualidade obras preventiva apoiará resolução conformidades ações corretivas oportunidade melhorias apoiará análise riscos obras garantirá cumprimento atualização pqo garantirá padronização processos revisará procedimentos formulários manuais tutoriais necessidade participará auditorias internas externas irá compilar acompanhar indicadores área kpis dashboards power bi orientará sobre necessidade documentos atendimento nbr 15575 - norma desempenho ensino superior completo engenharia civil arquitetura controle qualidade obras office intermediário excel boa capacidade analítica comunicação
257, identificar gargalos processos implementados propor soluções melhorias apoiar diversos departamentos empresa processos específicos automação melhoria contínua buscar organizar formatar analisar apresentar diversos setores empresa permitir tomada decisão gestores identificar especificar implementar indicadores chaves desempenho gestão garantir controle cumprimento prazos projetos sob responsabilidade garantir sigilo sobre coletados permitindo acesso divulgar pessoas autorizadas planejar liderar garantir implementação projetos sob responsabilidade elaborar aplicar treinamentos técnicos gerenciais processos sob gestão ensino superior completo engenharia administração ti power bi excel avançado análises modelagem automatização processos mapeamentos fluxos atividade identificação melhorias falhas processos
258, desenvolver estudos melhoria produtividade redução gargalos dimensionar estruturas armazenagem separação movimentação projetos ampliação cds meio cálculo produtividade cronoanálise elaborar orçamentos projetos através consulta históricos anteriores contatos fornecedores elaborar acompanhar andamento cronogramas projetos através reuniões responsáveis implementação elaboração relatório follow up monitorar cumprimento orçamento previsto meio acompanhamento aprovação despesas reflexo relatórios gerenciais bi bo cumprir metodologia elaboração indicadores operacionais entregando informações consistentes dentro prazo esperado realizar auditorias cds acordo metodologia acordada descrever procedimentos mapeando desenhando fluxos processos propondo melhorias realizar análises causa estatísticas entendimento comportamento operacional meio correlações variáveis processo estabelecer necessidade automação/desenvolvimento sistema melhoria processo aumento controle solução problema monitorar desenvolvimento solução junto área ti ensino superior - ciências exatas office - avançado estatística aplicada desenho processos
259, desenvolver estudos melhoria produtividade redução gargalos dimensionar estruturas armazenagem separação movimentação projetos ampliação cds meio cálculo produtividade cronoanálise elaborar orçamentos projetos através consulta históricos anteriores contatos fornecedores elaborar acompanhar andamento cronogramas projetos através reuniões responsáveis implementação elaboração relatório follow up monitorar cumprimento orçamento previsto meio acompanhamento aprovação despesas reflexo relatórios gerenciais bi bo cumprir metodologia elaboração indicadores operacionais entregando informações consistentes dentro prazo esperado realizar auditorias cds acordo metodologia acordada descrever procedimentos mapeando desenhando fluxos processos propondo melhorias realizar análises causa estatísticas entendimento comportamento operacional meio correlações variáveis processo estabelecer necessidade automação/desenvolvimento sistema melhoria processo aumento controle solução problema monitorar desenvolvimento solução junto área ti ensino superior - ciências exatas office - avançado estatística aplicada desenho processos
260, - suporte operacional comercial análises relatórios vendas - elaboração distribuição metas comerciais - aprimorar atualizar relatórios semanais indicadores - ter visão crítica sobre quais bases números consultar análise - entender contexto solicitações traduzir análises acompanhar desempenho id 's empresa - apoiar elaboração fluxo processos referentes comercial - superior completo administração economia engenharias - excel avançado tabela dinâmica procv somase etc - sistemas bi qliksense/power bi
261, desenvolvera monitoramento estoques custos controladoria conciliações estoques fiscal x fisico x wms acompanhamento inventários montagem mapas ações corretivas preventivas power bi superior completo ciências contábeis administração gestão empresarial áreas correlatas
262, gráficos planilhas relatórios conforme direcionamentos coordenador área atendimento entidades canais vendas análise performance desempenho identificação oportunidades ameaças recomendações estratégicas conforme direcionamentos coordenador tabelas gráficos dentro obiee sistema bi oracle office excel avançado ppt word intermediário bi oracle habilidades boa comunicação resiliência bom relacionamento interpessoal
263, precisa participar processo seletivo ensino superior administração áreas correlatas completo cursando excel nív el avançado vba ms access - intermediário/avançado programação sql - intermediário/avançado power bi outra ferramenta bi equivalente planejamento produtos empresa varejo otb open to buy fácil acesso região alphaville quais responsabilida des estruturação banco sql server integração sql server fontes relatórios automatização envio diário estruturação relatórios power bi analises adhoc controle compras otb gestão estoques controle validação coleções semanais controle desembolso compra produtos controle metas venda benefícios plano saúde plano odontológico vale refeição vale transporte vale combustível estacionamento gratuito horário flexível diferenciais 70 % desconto produtos arrasar qualquer ocasião parcerias educacionais porque nunca demais dress code livre ouse fashion style
264, ingrediente falta aqui pif paf vai fazer parte busca cada vez inovação agilidade desenvolvimento ! venha fazer parte receita sucesso # vemserpifpaf irá contribuir efetuar análises variação custos produto família unidade mercado comparando orçado x real períodos atuais período anteriores ferramentas tecnologia elaborar apresentações explicação variações custos efetuar validações movimentações estoque apontamento produção atuar correção anomalias junto processo produção elaborar projeções custos forecast fique ligado requisitos vaga ! graduação administração contabilidade engenharias economia estatística matemática ciências computação áreas pós-graduação considerado facilidade/familiaridade ferramentas tecnologia ferramentas business intelligence bi power bi excel avançado análise custos controladoria resultados conhecimento/experiência indicadores gestão custos produção ótimo raciocínio lógico capacidade analítica organização facilidade trabalhar equipe senso urgência dinamismo proatividade gostou então # vemserpif paf dá gosto ter aqui ! bom saber todas vagas disponíveis pessoas deficiência
265, responsável toda rotina financeira auxiliar planejamento rotina departamento acompanhar recebimento pagamentos efetuados analisar fluxo caixa acompanhar projeção faturamento demais pertinentes área financeira necessário cursando/ concluído ensino superior administração/ contabilidade excel intermediário office sistema sap power bi
266, planejamento monitoramento pagamento acompanhamento coleta entrega peças destinadas produções fábricas analise emissão relatórios indicadores desenvolvimento projetos econômicos logísticos plano ação melhoria continua provedores transporte vivência departamento transporte inbound superior completo/cursando administração logística engenharia produção comércio exterior qlik sense poer bi plataformas roteirização maplink ailog office avançado
267, elaborar relatórios gestão via power bi realizar acesso banco elaboração relatórios gestão monitorar avaliar desempenho rede realizar suporte instalar configurar software hardware otimizar estrutura rede internet telefone garantindo maior qualidade menor custo superior área ti sistemas informação imprescindível power bi acesso banco elaboração relatórios meio view base sistemas controle infraestrutura ti funcionalidades sistemas gestão totvs sap etc possuir cnh categoria b habilidade dirigir estrada necessário domínio office excel avançado
268, realizar gestão projetos indicadores dashboards gestão orçamentária vivência gestão projetos indicadores dashboards avançado office ênfase excel power bi powerpoint acompanhamento roadmaps vivência gestão orçamentária
269, acompanhamento execução financeira captura resultados business case visão financeira projetos avançado power bi dash executivo habilidade analítica excel avançado
270, referentes função visão financeira projetos business case acompanhamento execução financeira captura resultados avançado power bi dash executivo alta capacidade analítica excel avançado
271, realizar gerar consenso documentos qualidade realizar auditorias internas acompanhar auditorias sanitárias gestão controle mudanças aplicação matriz riscos avaliando auxiliando coordenação aplicar diretrizes qualidade diversos stakeholders clientes internos liderar projetos melhoria áreas interface otimizar processos relacionados qualidade realizar treinamentos partir normas guedlines qualidade conceitos sistema qualidade colaboradores natura prestadores serviços protagonista resiliente comunicativo persuasivo analítico gmp trabalhar equipe organizado pró ativo ensino superior completo engenharia/farmácia/química avançado excel power bi power point aplicação ferramentas qualidade 5 porques swot ágil aplicação bpf/gmp haccp iso 22.716 rdc48 tratamento power bi idioma inglês - intermediário espanhol - intermediário
272, gestão ativos ti servidores rede estações trabalho implantação mecanismos segurança bkp ad firewall ... coordenar implantação plataformas e-commerce suporte bi erp ... gerenciar integração sistemas construir políticas segurança informação rpo rto etc. superior completo área ti
273, elaborar analisar relatórios inteligência mercado coletando disponibilizando mercado orientar dar suporte ações gerenciais extrair analisar informações crm vendas treinar novos colaboradores ferramenta desenvolver analisar acompanhar relatórios indicadores internos desenvolver outras correlatas atribuições critério superior imediato superior completo cursando economia administração marketing office excel avançado disponibilidade viajar b.i
274, atuará área controle transportes referente todos veículos saem entrega responsável monitoramento entregas resolver problemas desde saída empresa cliente contato cliente final sim equipe suporte cliente atuará reports relatórios indicadores formação superior completo administração logística engenharia processos similares certificações excel power bi prévia planejamento transportes
275, levantar junto necessidades desenvolver relatórios painéis atendam expectativas extrair atender específicas abrir acompanhar chamados desenvolvedoras necessário momentos baixa demanda dar chamados aplicativos montagem relatórios análise apresentação resultados desenvolver painéis gestão indicadores performance modelagem plataformas business intelligence fast analytics gooddata powertv realizar levantamento necessidade elaborar documentação registro aplicações área desenvolvimento gerenciamento chamados desenvolvedora cuidando levantamento solução erros realizar extrações banco oracle acordo necessidade usuário negócio extrair banco pl sql fins relatório ensino superior completo área tecnologia informação avançado ms excel pl sql visão sistêmica analítica inglês técnico análise manipulação ferramenta business intelligence desenvolvimento cronograma ter erp preferencialmente totvs winthor ter contato totvs fast analytics gooddata
276, total departamento vendas diz respeito atendimento ligações resoluções problemas - devolução cadastramento extravio mercadoria falta mercadorias prorrogação boleto dentre outras ter perfil gestão análise superior administração empresas áreas correlatas excel intermediário avançado ter perfil comercial conhecer power bi vivência empresas ramo varejista farão deste candidato
277, acompanhar operação coletando compilando analisando informações transporte efetuando atualização base demais controles logísticos processos alocado monitorar indicadores excelência operacional minimização custos melhoria contínua serviços foco satisfação cliente bem dando suporte orientações equipe superiores ampliando sinergia objetivando maximização resultados .. necessário ter habilidade análise economica frete ativo passivo analise base ct-e medição performance excel word power point cnh b superior cursando administração/eng transporte excel avançado access bi - desejavel
278," pesquisar mercado fornecedores produtos serviços através coleta preços identificar melhores oportunidades compras tv áudio eletro portáteis beleza saúde ferramentas automotivo analise concorrência analise mercado otb campanha mkt analise precificação primeiro preço descontos planejamento prospecção produtos fornecedores negociação stratégic sourcina obtenção melhor equação custo risco beneficio financeiro comprovada área compras tv áudio eletro portáteis beleza saúde ferramentas automotivo mercado fornecedores domínio office excel intermediário sistema erp sap vivencia ferramenta bi tipo vaga efetivo/clt salário r $ 3.000,00 - r $ 4.000,00 mês comprovada área compras tv áudio eletro portáteis beleza saúde ferramentas automotivo mercado fornecedores domínio office excel intermediário sistema erp sap vivencia ferramenta bi tipo vaga efetivo/clt salário r $ 3.000,00 - r $ 4.000,00 mê"
279, csc - centro serviços compartilhados vertical vendas atendimento cliente via telefone redes sociais whatsapp acompanhar digitar propostas comercias processor ordens compras identificar divergências trata-las ensino superior completo administração economia engenharia excel avançado power bi gestão orçamentária contratos contas pagar kpis slas vivência sap
280, contribuir área growth mkt acompanhamento métricas kpis entregas budget olhar analítico fundamental execução planejamentos estratégicos campanhas aquisição novos pacientes melhorar topo funil trabalhar squads/ atuar p.o graduação comunicação administração marketing áreas branding marketing digital comunicação habilidades analíticas criatividade solução problemas hand on visão startup atitude dono times multidisciplinares liderança projetos diferenciais régua relacionamento crm rd stilingue g.a power bi seo inbound mkt
281, profissional responsável gestão revisão todos reportes enviados matriz contabilidade internacional usgaap reportes internacionais ferramentas reporte hfm/ hyperion consolidado normas contábeis legislação fiscal relatórios fechamento mensal budget forecast domínio excel ferramentas bi erp totvs datasul formação superior ciências contábeis administração economia área controladoria fortes contábeis relatórios reporte matriz usa bs p l budget forecast facilidade idioma inglês comunicação escrita verbal idioma inglês - fluente
282, desenvolver parceria analistas product owner requisitos funcionais sistema desenvolvido colaborar busca melhor solução técnica problema desenvolver funcionalidades banco front end back end apis participar rituais scrum validar funcionalidades desenvolvidas product owner graduação ciência computação engenharia computação análise desenvolvimento sistemas sistemas informação pós- graduação área psql tsql dml ddl react javascript c # asp net web api power bi css git hub git lab segmento varejista
283, análise estruturados visam extração insights tomada decisão elaboração modelos árvores decisão aplicação políticas companhia outras elaborar planilhas indicadores diretoria análise estratégico auxilia desenvolvimento implementação ações vendas desenvolver interpretar relatórios intermediário excel raciocino lógico bi linguagem programação r. ensino superior completo cursando área exatas tecnologia informação matemática física engenharias estatística
284, administrar sistema erp-consinco configurando implantando treinando rotinas atuar suporte 2 identificando corrigindo problemas relacionados erp softwares satélites apoiar direcionar treinar suporte n1 erp consinco softwares satélites realizar interface fornecedores erp banco apoiar homologação sistemas analisando conformidades corrigindo erros banco oracle pl/sql api documentar procedimentos solução problemas criando base fazer roadmaps design thinking áreas negócios identificando melhorias sistêmicas evolução tecnológica graduação ciência computação engenharia computação análise sistemas áreas relacionadas ti prévia segmento varejo supermercadista boa capacidade comunicação oral escrita sistema totvs fluig considerado certificado scrum psm i. linux shell arquitetura corporativa ferramenta power bi
285, realizar atendimento suporte clientes produtos plataformas realizar monitoramentos diversos aplicações acompanhando dashboards ter capacidade analitica sugerir soluções face necessidades suporte gerenciar documentar procedimentos internos externo base pré-requisitos ter atendimento suporte á clientes bem ferramentas utilizadas diferenciais edi eletronic date interchange itil porwer bi dashboards raciocinio lógico desenvolvimentos habilidades comportamentais colaborativo gostar trabalhar equipe flexibilidade adaptabilidade foco cliente organização comunicação interpessoal raciocinio logico iniciativa idioma inglês - básico
286, realizar atendimento suporte clientes produtos plataformas realizar implantação sistemas treinamentos | projetos realizar monitoramentos diversos aplicações acompanhando dashboards ter capacidade analitica sugerir soluções face necessidades suporte gerenciar documentar procedimentos internos externo base pré-requisitos ter atendimento suporte á clientes bem ferramentas utilizadas office excel intermediário/avançado diferenciais edi eletronic date interchange itil porwer bi dashboards raciocínio lógico desenvolvimentos ter trabalhado documentações normatizadas idioma inglês - fluente
287, performar relatórios financeiros elaborar apresentações gerenciais elaborar fluxogramas monitorar performance avaliar controles implementar melhorias atuais fluxos administrativos financeiros superior completo contabilidade ciências contábeis excel avançado finanças contabilidade sistemas sap ms office power bi boa capacidade comunicação oral escrita habilidade analítica alto habilidades interpessoais trabalhar outras pessoas departamentos área controladoria rotinas departamento jurídico considerado idioma inglês - básico
288, irá atuar ativamente desenvolvimento plataforma inteligência geral desenvolver evoluir manter parte escopo projetos plataforma baseada ambiente aws mapeamento levantamento processos documentação identificação métricas kpis fornecer insights realizar análise contribuir qualidade desenvolvimento modelos dashboards ajudar disseminar cultura modelagem especificação arquitetura soluções bi analytics seguindo melhores práticas design patterns recomendados internamente fornecedores
289, responsabilidades realizar processo seletivo interno externo posições alinhar perfil vaga requisitantes fim entender desafios necessários preenchimento posição abordar agendar entrevistar candidatos online compromisso proporcionar melhor candidatos ajudar desenvolvimento condução dinâmicas grupo online fim melhores cumprir prazos indicadores estabelecidos área realizar processos pré-admissão feedback candidatos participaram processo seletivo atuar melhoria contínua área requisitos ensino superior completo psicologia administração engenharia processos gestão rh office intermediário power bi condução processos seletivos competência grandes volumes perfis diversos desejáveis microsoft teams/inglês/espanhol
290, assistir depto marketing prestar atendimento equipe vendas mediante suporte comunicação materiais visual merchandising rede franquias shoppings centers cumprir calendário anual ações marketing necessário abertura briefing junto agência comunicação produção materiais gráficos acompanhar produção eventos lançar administrativas depto erp nf s pedidos compras etc acompanhar implementação planos lançamento produtos incluindo diretrizes execução loja ações divulgação disponibilidade visitas mensais lojas/ pdv previsão visitas pdv todos meses 5 7 dias conforme necessidade prestar suporte telefônico e-mail equipes interface mkt acompanhamento diário resultados campanhas nacionais regionais relacionamento shoppings centers campanhas internas instalação mídias boa comunicação imprescindível senso organização facilidade negociação proatividade requisitos desejáveis pré-requisitos domínio ferramentas excel powerpoint bi requisitos capacidade analítica bom relacionamento interpessoal flexibilidade adaptabilidade
291, google adwords analytics elaborar estratégia desenvolvimento materiais promocionais campanhas mídia online off line elaborar estratégias seo analisar comportamento consumidor atender necessidades clientes novos produtos serviços prestar suporte organização feiras eventos exposições cotação materiais mídias sociais promover ações lançamento produto acompanhar pesquisas mercado junto superior imediato redigir materiais propaganda divulgação marca produzir relatórios pesquisas consumidor analisar volume vendas atualizar auxiliar conteúdo sites blog redes sociais empresa cotação materiais mídias sociais google adwords analytics sales force power bi ensino superior marketing jornalismo google seo conteúdos mídias redes sociais informática office idioma inglês marketing ramo industrial boa escrita comunicação
292, mapear desenhar fluxos analisar elaborar ferramentas realização controle processos financeiro fiscal conhecer documentação notas fiscais fluxo caixa deveres tributários elaborar pop instrução trabalho relatórios memoriais descritivos críticos propor soluções possíveis problemas relacionados processos indicadores operação elaborar planilhas controle assim acompanhar desenvolvimento fluxos operacionais realizando correções melhorias aplicável ferramentas métodos inovação processos resolução problemas elaborar metodologia facilitação análises indicadores desempenho estabelecimento metas apresentação relatórios resultados participar elaboração/revisão implementação procedimentos operacionais padrão bem otimização métodos controle manutenção documentos treinamentos área administrativa financeira outras inerentes cargo rotinas administrativa financeira controle processos sistema sap erp microsoft visio análises estatísticas gestão controladoria bem formação análise tecnologia informação engenharia contabilidade considerados imprescindível power bi excel avançado elaboração dashboards ferramentas controle estatístico banco atento detalhista analítico comprometido prazos organizado possuir cnh b
293, mapear desenhar fluxos analisar elaborar ferramentas realização controle processos administrativo financeiro fiscal jurídico conhecer documentação notas fiscais fluxo caixa deveres tributários elaborar pop instrução trabalho relatórios memoriais descritivos críticos propor soluções possíveis problemas relacionados processos indicadores operação elaborar planilhas controle assim acompanhar desenvolvimento fluxos operacionais realizando correções melhorias aplicável ferramentas métodos inovação processos resolução problemas elaborar metodologia facilitação análises indicadores desempenho estabelecimento metas apresentação relatórios resultados participar elaboração/revisão implementação procedimentos operacionais padrão bem otimização métodos controle manutenção documentos treinamentos área administrativa outras inerentes cargo rotinas administrativa financeira controle processos sistema sap erp microsoft visio análises estatísticas gestão controladoria bem formação análise tecnologia informação engenharia contabilidade considerados imprescindível power bi excel avançado elaboração dashboards ferramentas controle estatístico banco atento detalhista analítico comprometido prazos organizado possuir cnh b
294, responsável questões comerciais trade marketing canal digital app propor planejar executar calendário comercial anual parceria áreas trade marketing merchandising apontamento oportunidades melhorias ferramenta planejamento estratégico compras venda categoria coleções etc mensuração acompanhamento kpi # 39s métricas interface áreas ti crm trade marketing digital marcas elaboração estudos insights áreas clientes leitura crítica dashboards melhoria indicadores marketplaces omnichannel superior completo administração tecnologia marketing áreas correlatas varejo preferencialmente interação app e-commerce office excel intermediário avançado google analytics outras ferramentas acompanhamento trafego vivência bi protagonismo curiosidade senso dono facilidade comunicação
295, estabelecer desenvolver fluxos implantação propostas análise controle métricas kpis propor melhorias estratégias empresa acordo estudos análises supervisão acompanhamento desde pedido entrega cliente elaborar apresentações resultados indicadores relatórios planejamento estratégico área processos implantação elaborar processos operacionais confeccionar documentos formulários específicos finalidade descrever procedimentos operacionais manuais desenvolver aplicar treinamentos relacionados conscientização processos dentro empresa participar reuniões empresa objetivo auxiliar metodologias sugerir procedimentos eficazes repassar regras negócio processo desenvolvidas serem aplicadas software utilizados empresa ensino superior completo cursando administração áreas office avançado power bi perfil boa comunicação proatividade cordialidade trabalho equipe habilidade organização gestão tempo métodos lean/six sigma pdca 5w2h ferramentas qualidade estatística média complexidade indicadores desempenho bpm bpmn rpa domínio arquitetura processos metodologia estrutura organização governança habilidade ferramentas mapeamento processos vsm bizagi aris mini-tab
